first,gender,N
OFELIA,F,4155
SUSANN,F,1907
MICKIE,F,2402
RENAE,F,12630
ABIGAIL,F,210164
ADELINE,F,6504
TREVA,F,4517
JERRIE,F,2848
KRISTA,F,71018
LELIA,F,2967
RACHELLE,F,31393
RHEA,F,7113
RONA,F,3607
ANNETTA,F,3599
DANNA,F,9783
DINA,F,26781
GEORGE,F,2846
LETICIA,F,39353
MARCIE,F,14067
MARTINA,F,12054
RAQUEL,F,41334
TOBY,F,3882
ESTELA,F,5131
EVANGELINA,F,4902
HILARY,F,22550
JANNA,F,13621
KRISTY,F,68978
ROSALEE,F,2497
SOPHIA,F,115558
BONNY,F,4416
CAROLYNN,F,3617
EVE,F,13727
LINNEA,F,5434
MARYBETH,F,8951
PANSY,F,1572
AIDA,F,8056
ELYSE,F,12644
KATE,F,45529
CATHEY,F,1800
CLAUDINE,F,4881
DONITA,F,4300
HARRIETTE,F,1137
JULIANA,F,30438
KARAN,F,2617
LARRY,F,2451
SANJUANA,F,1620
NICKI,F,5191
SHERILYN,F,3085
TWYLA,F,4429
CAROLINA,F,28375
DELPHINE,F,3344
KRIS,F,12816
LORRIE,F,16610
THEODORA,F,3389
HERLINDA,F,2433
ISABELLE,F,32156
ADRIAN,F,12710
CHARLIE,F,4968
KATHLYN,F,2622
KYLE,F,7989
LESSIE,F,1815
LIZABETH,F,4579
MILLICENT,F,4026
SELMA,F,3296
TARA,F,169576
GEORGIANA,F,2505
HESTER,F,1553
MITZI,F,10881
NANCIE,F,1654
ZELDA,F,3254
ANNABELLE,F,11938
MIMI,F,4833
OLIVE,F,1652
PHOEBE,F,12822
SILVIA,F,15891
FRANCISCA,F,6445
REBEKAH,F,63724
ROWENA,F,3440
SAMMIE,F,2206
TERESE,F,5440
BELVA,F,1231
FRAN,F,3339
GEARLDINE,F,941
JULIETTE,F,9583
KELLY,F,459645
LORINE,F,1591
MARGOT,F,5636
PAMELLA,F,2364
VEDA,F,3214
DANIELLE,F,348261
JERILYN,F,3561
MELODIE,F,8205
RICHARD,F,5402
AURELIA,F,3668
MAGDALENA,F,10506
MARGARETT,F,1175
ALINE,F,2965
CANDIS,F,4465
DELMA,F,2441
DONNIE,F,1991
JULIET,F,12765
MARA,F,15350
PHILLIS,F,1684
VERNICE,F,2008
CRISTINA,F,46307
JULIANN,F,5648
PENNIE,F,4212
TAMMY,F,330410
ALENE,F,1629
ENID,F,2527
GLYNDA,F,1237
KAROLYN,F,3508
KENDRA,F,80618
NICOLETTE,F,13983
NORENE,F,1156
ROSELYN,F,4505
SOCORRO,F,3401
CLARISSA,F,30031
GERI,F,6875
MARIANNA,F,8134
MERRIE,F,1811
NANNIE,F,987
ROSANN,F,1743
VANESSA,F,223099
VONNIE,F,1608
ALLIE,F,15731
SHERON,F,2287
SHIRLEE,F,1351
CHAROLETTE,F,1762
DEBBRA,F,3507
DORINDA,F,3849
JOYCELYN,F,4239
LAVON,F,2021
LINDY,F,6893
LUCILE,F,1327
NICOLE,F,555796
SHELLIE,F,9131
VELDA,F,2139
ZELLA,F,1254
ANNAMARIE,F,8307
ERNESTINA,F,2746
JANNETTE,F,3801
JEANETTA,F,3023
JENIFER,F,23927
LEORA,F,2569
LUZ,F,19882
MARJORY,F,1346
MARLYN,F,2875
NORINE,F,1570
RACHAEL,F,74365
SANDI,F,8542
ALBERTHA,F,781
AMBER,F,353314
ELINOR,F,2559
FLOSSIE,F,1110
JODIE,F,25541
LOURDES,F,12245
STACEY,F,145169
CARMELITA,F,3927
CHERYLL,F,1944
CORDELIA,F,3195
DARLINE,F,2335
ELISSA,F,13217
GERALYN,F,4552
JACLYN,F,46237
JANEY,F,2869
MARTY,F,3078
TRACEY,F,85756
CARROL,F,1259
EMILIE,F,14222
EVON,F,2151
KATHYRN,F,2175
LESLEE,F,4136
LOLITA,F,5873
MAUDE,F,1360
REGENIA,F,1781
THEA,F,6029
EVONNE,F,3454
JANEEN,F,5721
NOEL,F,10202
SUSANA,F,16989
GAYNELL,F,1555
KARYL,F,1264
LAURENE,F,2236
LAVERN,F,2767
PEARLINE,F,1233
TRINA,F,30965
CANDYCE,F,2565
DEANN,F,9164
EDYTHE,F,1148
GWENDA,F,1573
JOLEEN,F,5282
LARAINE,F,1501
LAWANDA,F,10219
MARITA,F,2935
MELVINA,F,2197
LORELEI,F,5263
THOMAS,F,4825
ALVA,F,2158
ARLINE,F,1687
DRUCILLA,F,1327
GEORGEANN,F,1287
GEORGIE,F,1780
JERALDINE,F,1059
MAURA,F,16115
NIKI,F,6302
BERTA,F,2188
GENE,F,1159
GUSSIE,F,812
JACQULYN,F,2922
JOETTA,F,2197
LONNA,F,2353
MARILOU,F,1355
PHYLIS,F,1051
ALLENE,F,1288
NILA,F,2144
PAULETTA,F,1565
ROMA,F,1881
SIDNEY,F,16115
TRUDI,F,2711
VENITA,F,3319
ANNEMARIE,F,9973
CHARLINE,F,2123
ELLYN,F,2569
ERIN,F,296121
JANN,F,1743
KATHERN,F,1580
LIDIA,F,6612
LORIE,F,21116
LURA,F,1851
MARYLIN,F,1769
THEDA,F,1123
URSULA,F,8881
COLLETTE,F,5241
DREMA,F,1798
FONDA,F,3103
FRANCENE,F,1109
KATY,F,15850
LANI,F,5052
LOUANN,F,3776
MAURINE,F,1121
SHARLEEN,F,1763
STARR,F,7188
VIDA,F,2384
ALLYSON,F,38599
GERMAINE,F,2784
GINNY,F,5943
KARLENE,F,2760
LUANA,F,2145
PAMELIA,F,1550
SHIELA,F,3651
SUZANNA,F,7364
TONIA,F,21288
ANGELIA,F,20786
DESSIE,F,1478
JOETTE,F,1632
LEILANI,F,12456
CHRISTI,F,20479
ELVIA,F,5338
GAYLENE,F,1867
JANEL,F,11056
JODI,F,78488
ADRIANNE,F,11151
BRINDA,F,1707
CHRISTA,F,30837
DARIA,F,6432
ILONA,F,1782
LEATHA,F,1758
LOUVENIA,F,797
SHARYL,F,2020
ARDIS,F,921
DORCAS,F,2689
HOLLIS,F,2261
HORTENCIA,F,1710
IDELLA,F,1065
IONA,F,1568
LEONORA,F,2018
RICKI,F,3497
STACY,F,159006
BERNITA,F,2126
BETTINA,F,5001
CARA,F,44715
CHERRIE,F,3196
CRISTINE,F,3688
DARNELL,F,1797
IVORY,F,4635
ROMONA,F,3265
SERENA,F,30296
VERNITA,F,2643
ELDA,F,2151
KATHEY,F,1331
SHARLA,F,5813
SHERRON,F,1850
TRUDIE,F,1209
ABBIE,F,11891
ABBY,F,45157
CAREY,F,11862
GARY,F,2344
GERRI,F,4639
LETTIE,F,1304
PHYLISS,F,964
RONALD,F,2546
SHERLYN,F,3482
ANGELICA,F,78042
CARMEL,F,3221
CHERRYL,F,1210
ESMERALDA,F,32957
LARK,F,1034
MARLENA,F,9351
MARNA,F,1459
RANDA,F,3134
RENITA,F,7172
THOMASINE,F,1042
ZANDRA,F,3006
ZOE,F,55851
AGATHA,F,1865
BEATRIZ,F,13623
EASTER,F,1149
ELAYNE,F,1440
LEONOR,F,2834
MARGARETTE,F,1185
REGENA,F,1897
SAN,F,1508
VERLA,F,715
VIKI,F,1531
ALLYN,F,1426
CARLETTA,F,2412
CAROLEE,F,1968
DREAMA,F,2315
EMILIA,F,9666
LEATRICE,F,1604
LINA,F,7453
TENA,F,5552
ADELAIDE,F,3334
ANDRA,F,4608
BOBBI,F,22235
JOHNNY,F,1981
JOSEPH,F,6403
LORINDA,F,3951
PRUDENCE,F,1755
ALETHA,F,3082
ANTIONETTE,F,7305
CHRISTENE,F,2013
DORRIS,F,789
DRUSILLA,F,1257
ELIA,F,3550
HELLEN,F,1698
JANENE,F,3115
LEOTA,F,688
LUISA,F,7805
RANDEE,F,2474
BEVERLEE,F,841
CARMA,F,1892
CHARLETTE,F,2532
EARLEAN,F,556
GENA,F,11179
IOLA,F,727
ISABELL,F,3585
JACQUELYNE,F,2234
JACQUELYNN,F,3917
MILAGROS,F,6657
NOEMI,F,14520
ROXANA,F,8659
AMALIA,F,5925
DAYLE,F,1494
DEBORRAH,F,883
EDWARD,F,2417
GEORGIANN,F,882
KANDY,F,4869
LOYCE,F,677
MEGAN,F,415274
NANCEE,F,855
ADELINA,F,3561
AUGUSTA,F,2190
FRANCIE,F,1188
JAUNITA,F,996
KIMBERLEY,F,37003
LUE,F,927
MARYLEE,F,1248
VERNETTA,F,1518
BIRDIE,F,755
BUNNY,F,1038
CORAL,F,5919
FREDIA,F,1057
GEORGETTA,F,1517
IMELDA,F,4765
JOHNETTA,F,2223
MARCELLE,F,2279
MAUDIE,F,797
PHILOMENA,F,1222
SHARAN,F,759
VITA,F,1755
ADELL,F,967
CAROLYNE,F,1541
DEBERA,F,1149
HALLIE,F,14420
IRA,F,1381
LANETTE,F,4413
LINNIE,F,951
LIZA,F,13513
MAGDALENE,F,2466
ROSIA,F,553
SELENA,F,36124
SHEILAH,F,1754
ALVINA,F,2013
DARA,F,10994
ELEANORE,F,1363
HEDY,F,938
JANYCE,F,738
LIZBETH,F,17908
MARYLYN,F,1042
PALMA,F,739
SCARLETT,F,9404
THOMASINA,F,2365
DELAINE,F,1568
EUGENIE,F,1070
JULIANNA,F,23924
KATHRYNE,F,2963
RICKIE,F,1308
TEENA,F,5317
TERESSA,F,5778
CHARITY,F,28088
GEORGANN,F,900
ISABELLA,F,110108
MARTI,F,3829
MYRTIS,F,781
PAUL,F,3244
SANTA,F,1936
SOFIA,F,39101
STEFANIE,F,35693
BERTIE,F,630
BROOKE,F,152124
DELOISE,F,983
GEORGINE,F,953
HERMINIA,F,1506
HILLARY,F,26224
MADALYN,F,10837
NILDA,F,2648
ZENOBIA,F,2036
BABETTE,F,2306
DAWNA,F,5311
GARNET,F,930
LEEANN,F,12528
LUVENIA,F,778
MADGE,F,781
MARCI,F,13428
MICKI,F,2356
MINA,F,5037
MONIQUE,F,76124
ONA,F,1301
RAYLENE,F,2864
ROSALIA,F,3784
SHERRIL,F,1076
SHERYLE,F,893
SHIRLEEN,F,1139
TONIE,F,2248
ARNETTA,F,1762
DONZELLA,F,249
